title,genres,overview
Avatar,Action Adventure Fantasy,A marine on an alien planet joins a mysterious world.
Titanic,Drama Romance,A young couple falls in love aboard a famous ship.
Inception,Action Science Fiction Thriller,A skilled thief enters people's dreams to steal information.
Interstellar,Adventure Drama Science Fiction,Explorers travel through space searching for a new home.
The Dark Knight,Action Crime Drama,A masked hero faces a dangerous criminal in Gotham City.
The Avengers,Action Adventure Science Fiction,Superheroes join forces to protect Earth from a powerful enemy.
Iron Man,Action Adventure Science Fiction,A wealthy inventor builds a powerful armored suit.
Guardians of the Galaxy,Action Adventure Comedy Science Fiction,A group of unlikely heroes must save the galaxy.
Jurassic Park,Adventure Science Fiction Thriller,Scientists create a theme park filled with genetically engineered dinosaurs.
The Matrix,Action Science Fiction,A computer programmer discovers that reality is a simulation.
Star Wars,Action Adventure Science Fiction,Heroes fight against an evil empire across the galaxy.
The Lord of the Rings,Adventure Fantasy Drama,A group of heroes travels across a magical land to destroy a powerful ring.
Harry Potter,Adventure Fantasy,A young wizard discovers his magical abilities and attends a wizarding school.
Spider-Man,Action Adventure Science Fiction,A teenager gains spider-like abilities and becomes a superhero.
Black Panther,Action Adventure Science Fiction,A superhero king protects his advanced African kingdom.
Doctor Strange,Action Adventure Fantasy,A surgeon learns mystical arts after a life-changing accident.
Toy Story,Animation Adventure Comedy,Toys come to life when humans are not around.
Finding Nemo,Animation Adventure Comedy,A father searches the ocean for his missing son.
The Lion King,Animation Adventure Drama,A young lion must accept his destiny as king.
Frozen,Animation Adventure Fantasy,A young woman searches for her sister after a magical winter begins.
Jumanji,Adventure Fantasy Comedy,Players become trapped inside a dangerous magical game.
Pirates of the Caribbean,Action Adventure Fantasy,A pirate captain searches for treasure and battles supernatural forces.
Transformers,Action Science Fiction,Robots from another world bring a battle to Earth.
Mission Impossible,Action Adventure Thriller,A skilled agent undertakes dangerous missions around the world.
Fast and Furious,Action Crime Thriller,A group of drivers becomes involved in high-speed missions and heists.
Mad Max Fury Road,Action Adventure Science Fiction,Survivors escape across a dangerous post-apocalyptic wasteland.
The Hunger Games,Action Adventure Science Fiction,A young woman fights for survival in a televised competition.
Divergent,Action Science Fiction Adventure,A young woman discovers she does not fit into her society's strict groups.
The Martian,Adventure Drama Science Fiction,An astronaut stranded on Mars fights to survive and return home.
Gravity,Drama Science Fiction Thriller,Astronauts struggle to survive after a disaster in space.
